subject,condition,mean_RI,n_epochs
1,EC,2.2634655990994754,15
1,EO,0.13326666666666667,15
2,EC,2.1119895737325827,15
2,EO,1.3287710802117085,15
3,EC,2.034719577412063,15
3,EO,0.4397676699995703,15
4,EC,2.4666024685525585,15
4,EO,0.6878414182906063,15
5,EC,0.5660851343727986,15
5,EO,0.6049265101842944,15
6,EC,0.29053337033247634,15
6,EO,0.279404894182094,15
7,EC,2.120481308427016,15
7,EO,1.6392519772237295,15
8,EC,1.6507009297890158,15
8,EO,0.9927323238114066,15
9,EC,1.0987482645901265,15
9,EO,0.648247815416375,15
10,EC,1.8155018490989494,15
10,EO,0.3038635450174228,15
11,EC,1.7716337826418485,15
11,EO,0.6238610817653677,15
12,EC,0.8494175285445101,15
12,EO,0.3018314024048448,15
13,EC,1.3889462751576114,15
13,EO,0.8760199727313939,15
14,EC,1.5124570031454483,15
14,EO,0.4465128584629221,15
15,EC,1.4795513677565109,15
15,EO,0.28551001383564173,15
16,EC,1.5172551292531413,15
16,EO,0.3285942516415821,15
17,EC,1.3671949848891602,15
17,EO,0.2610938638920671,15
18,EC,1.6004745375989384,15
18,EO,0.22535145353523653,15
19,EC,0.7939141817515759,15
19,EO,0.1900818754199913,15
20,EC,1.7509736433422873,15
20,EO,0.7326790235591217,15
