timestep,firing_count
0,88
1,76
2,92
3,98
4,98
5,91
6,96
7,95
8,101
9,111
10,109
11,121
12,127
13,136
14,140
15,143
16,137
17,129
18,127
19,142
20,169
21,176
22,149
23,147
24,144
25,137
26,115
27,123
28,122
29,120
30,123
31,126
32,127
33,112
34,91
35,84
36,78
37,73
38,70
39,57
40,57
41,64
42,56
43,54
44,54
45,46
46,47
47,56
48,56
49,49
50,48
51,51
52,46
53,41
54,43
55,39
56,29
57,27
58,22
59,24
60,23
61,26
62,18
63,12
64,12
65,13
66,17
67,24
68,25
69,19
70,26
71,37
72,49
73,42
74,34
75,39
76,39
77,34
78,29
79,37
80,37
81,49
82,59
83,65
84,66
85,66
86,68
87,84
88,83
89,87
90,99
91,98
92,99
93,101
94,104
95,110
96,112
97,141
98,126
99,125
100,126
101,134
102,134
103,123
104,120
105,120
106,137
107,148
108,147
109,151
110,123
111,121
112,108
113,117
114,117
115,120
116,114
117,103
118,91
119,70
120,61
121,50
122,67
123,71
124,72
125,72
126,91
127,102
128,110
129,122
130,115
131,101
132,98
133,95
134,101
135,113
136,101
137,92
138,85
139,87
140,92
141,94
142,92
143,93
144,85
145,82
146,66
147,67
148,73
149,68
150,60
151,67
152,71
153,90
154,95
155,93
156,97
157,106
158,105
159,95
160,105
161,108
162,111
163,115
164,126
165,110
166,106
167,102
168,85
169,82
170,109
171,113
172,111
173,125
174,119
175,137
176,125
177,139
178,146
179,139
180,135
181,130
182,131
183,140
184,126
185,117
186,116
187,114
188,101
189,105
190,95
191,95
192,90
193,89
194,95
195,90
196,76
197,71
198,63
199,57
200,56
201,58
202,60
203,52
204,58
205,55
206,59
207,79
208,86
209,94
210,92
211,102
212,95
213,98
214,100
215,95
216,103
217,100
218,109
219,114
220,105
221,122
222,120
223,120
224,99
225,98
226,81
227,82
228,84
229,92
230,92
231,93
232,102
233,118
234,123
235,130
236,110
237,96
238,93
239,98
240,83
241,68
242,64
243,70
244,60
245,51
246,52
247,51
248,56
249,49
250,62
251,66
252,68
253,85
254,90
255,89
256,100
257,97
258,108
259,107
260,99
261,94
262,103
263,100
264,108
265,104
266,105
267,119
268,127
269,119
270,119
271,138
272,135
273,134
274,141
275,150
276,141
277,138
278,135
279,129
280,128
281,129
282,118
283,110
284,101
285,110
286,117
287,105
288,106
289,109
290,112
291,94
292,109
293,106
294,96
295,103
296,93
297,85
298,91
299,101
300,97
301,101
302,106
303,101
304,112
305,132
306,129
307,112
308,114
309,112
310,112
311,108
312,117
313,99
314,92
315,95
316,85
317,88
318,91
319,82
320,82
321,101
322,107
323,118
324,100
325,100
326,100
327,99
328,111
329,121
330,109
331,109
332,100
333,94
334,103
335,93
336,83
337,85
338,97
339,98
340,115
341,128
342,118
343,109
344,98
345,99
346,115
347,107
348,97
349,123
350,118
351,113
352,117
353,116
354,115
355,121
356,123
357,116
358,110
359,95
360,100
361,96
362,109
363,137
364,158
365,159
366,160
367,168
368,162
369,158
370,148
371,149
372,164
373,154
374,138
375,128
376,115
377,105
378,114
379,104
380,92
381,98
382,111
383,106
384,96
385,94
386,77
387,70
388,60
389,62
390,70
391,74
392,68
393,78
394,90
395,96
396,91
397,93
398,105
399,95
400,98
401,99
402,79
403,82
404,85
405,81
406,71
407,88
408,84
409,101
410,100
411,95
412,107
413,108
414,104
415,106
416,121
417,126
418,132
419,128
420,122
421,114
422,105
423,105
424,98
425,107
426,110
427,114
428,120
429,125
430,123
431,115
432,115
433,110
434,92
435,98
436,99
437,113
438,111
439,124
440,117
441,117
442,116
443,89
444,87
445,86
446,93
447,100
448,83
449,91
450,85
451,77
452,77
453,65
454,58
455,59
456,75
457,80
458,82
459,93
460,111
461,109
462,112
463,122
464,113
465,122
466,119
467,132
468,140
469,135
470,134
471,131
472,134
473,152
474,165
475,162
476,148
477,167
478,143
479,128
480,140
481,130
482,127
483,125
484,104
485,115
486,129
487,133
488,118
489,125
490,119
491,131
492,140
493,149
494,123
495,116
496,105
497,107
498,100
499,105
500,103
501,98
502,96
503,82
504,104
505,97
506,92
507,95
508,87
509,97
510,114
511,117
512,109
513,102
514,113
515,135
516,125
517,128
518,121
519,125
520,135
521,128
522,136
523,121
524,115
525,96
526,108
527,93
528,127
529,133
530,143
531,132
532,136
533,128
534,124
535,107
536,117
537,110
538,119
539,115
540,105
541,102
542,100
543,92
544,96
545,96
546,92
547,99
548,101
549,111
550,115
551,127
552,135
553,113
554,126
555,119
556,96
557,85
558,114
