timestep,firing_count
0,1.0
1,3.0
2,2.0
3,3.0
4,3.0
5,5.0
6,2.0
7,3.0
8,2.0
9,2.0
10,1.0
11,1.0
12,2.0
13,2.0
14,2.0
15,2.0
16,1.0
17,2.0
18,2.0
19,1.0
20,2.0
21,5.0
22,8.0
23,7.0
24,15.0
25,21.0
26,24.0
27,27.0
28,29.0
29,28.0
30,33.0
31,30.0
32,43.0
33,29.0
34,42.0
35,53.0
36,52.0
37,54.0
38,64.0
39,84.0
40,76.0
41,84.0
42,92.0
43,86.0
44,108.0
45,112.0
46,126.0
47,123.0
48,129.0
49,124.0
50,127.0
51,128.0
52,119.0
53,116.0
54,111.0
55,125.0
56,121.0
57,149.0
58,148.0
59,153.0
60,159.0
61,167.0
62,161.0
63,134.0
64,153.0
65,132.0
66,142.0
67,174.0
68,175.0
69,170.0
70,199.0
71,215.0
72,223.0
73,194.0
74,179.0
75,173.0
76,184.0
77,207.0
78,214.0
79,215.0
80,196.0
81,190.0
82,178.0
83,147.0
84,139.0
85,133.0
86,129.0
87,126.0
88,117.0
89,94.0
90,74.0
91,69.0
92,63.0
93,69.0
94,82.0
95,76.0
96,67.0
97,63.0
98,60.0
99,59.0
100,49.0
101,44.0
102,36.0
103,38.0
104,44.0
105,38.0
106,38.0
107,46.0
108,52.0
109,54.0
110,57.0
111,67.0
112,64.0
113,65.0
114,68.0
115,60.0
116,68.0
117,62.0
118,71.0
119,73.0
120,72.0
121,55.0
122,46.0
123,49.0
124,66.0
125,73.0
126,80.0
127,76.0
128,87.0
129,67.0
130,72.0
131,77.0
132,95.0
133,100.0
134,116.0
135,119.0
136,127.0
137,147.0
138,162.0
139,186.0
140,175.0
141,198.0
142,187.0
143,201.0
144,201.0
145,202.0
146,224.0
147,211.0
148,183.0
149,169.0
150,137.0
151,124.0
152,113.0
153,102.0
154,102.0
155,110.0
156,109.0
157,100.0
158,110.0
159,103.0
160,103.0
161,74.0
162,71.0
163,63.0
164,57.0
165,69.0
166,76.0
167,81.0
168,89.0
169,89.0
170,92.0
171,76.0
172,77.0
173,82.0
174,86.0
175,82.0
176,91.0
177,94.0
178,104.0
179,93.0
180,96.0
181,82.0
182,59.0
183,81.0
184,79.0
185,82.0
186,70.0
187,78.0
188,78.0
189,64.0
190,64.0
191,79.0
192,103.0
193,112.0
194,112.0
195,96.0
196,107.0
197,90.0
198,89.0
199,72.0
200,71.0
201,83.0
202,70.0
203,73.0
204,58.0
205,66.0
206,57.0
207,60.0
208,64.0
209,60.0
210,63.0
211,78.0
212,75.0
213,84.0
214,111.0
215,101.0
216,98.0
217,92.0
218,111.0
219,98.0
220,121.0
221,120.0
222,128.0
223,118.0
224,94.0
225,90.0
226,70.0
227,62.0
228,56.0
229,74.0
230,85.0
231,92.0
232,88.0
233,94.0
234,108.0
235,125.0
236,136.0
237,133.0
238,148.0
239,151.0
240,155.0
241,158.0
242,160.0
243,158.0
244,154.0
245,168.0
246,160.0
247,155.0
248,145.0
249,127.0
250,110.0
251,114.0
252,111.0
253,98.0
254,98.0
255,92.0
256,87.0
257,73.0
258,67.0
259,70.0
260,72.0
261,81.0
262,83.0
263,72.0
264,77.0
265,76.0
266,87.0
267,74.0
268,81.0
269,74.0
270,68.0
271,63.0
272,59.0
273,68.0
274,62.0
275,63.0
276,80.0
277,80.0
278,85.0
279,80.0
280,70.0
281,73.0
282,80.0
283,78.0
284,76.0
285,82.0
286,80.0
287,79.0
288,77.0
289,75.0
290,81.0
291,91.0
292,94.0
293,99.0
294,80.0
295,76.0
296,84.0
297,72.0
298,82.0
299,76.0
300,66.0
301,49.0
302,47.0
303,50.0
304,51.0
305,64.0
306,66.0
307,66.0
308,67.0
309,71.0
310,86.0
311,92.0
312,110.0
313,105.0
314,101.0
315,90.0
316,83.0
317,87.0
318,76.0
319,87.0
320,94.0
321,93.0
322,92.0
323,100.0
324,132.0
325,127.0
326,143.0
327,157.0
328,155.0
329,144.0
330,143.0
331,134.0
332,120.0
333,120.0
334,134.0
335,130.0
336,138.0
337,127.0
338,135.0
339,126.0
340,127.0
341,138.0
342,133.0
343,121.0
344,107.0
345,95.0
346,97.0
347,95.0
348,97.0
349,92.0
350,104.0
351,90.0
352,77.0
353,72.0
354,84.0
355,76.0
356,70.0
357,84.0
358,92.0
359,89.0
360,90.0
361,91.0
362,83.0
363,65.0
364,59.0
365,59.0
366,68.0
367,66.0
368,58.0
369,61.0
370,63.0
371,60.0
372,63.0
373,69.0
374,76.0
375,56.0
376,53.0
377,57.0
378,55.0
379,64.0
380,75.0
381,78.0
382,89.0
383,106.0
384,110.0
385,117.0
386,128.0
387,123.0
388,134.0
389,123.0
390,128.0
391,126.0
392,117.0
393,116.0
394,125.0
395,130.0
396,129.0
397,130.0
398,130.0
399,128.0
400,139.0
401,150.0
402,172.0
403,183.0
404,180.0
405,186.0
406,162.0
407,172.0
408,181.0
409,176.0
410,172.0
411,169.0
412,164.0
413,166.0
414,183.0
415,157.0
416,159.0
417,161.0
418,178.0
419,153.0
420,129.0
421,151.0
422,131.0
423,129.0
424,105.0
425,84.0
426,72.0
427,64.0
428,54.0
429,59.0
430,58.0
431,50.0
432,52.0
433,57.0
434,62.0
435,56.0
436,56.0
437,53.0
438,54.0
439,62.0
440,64.0
441,67.0
442,60.0
443,59.0
444,67.0
445,71.0
446,85.0
447,76.0
448,84.0
449,103.0
450,102.0
451,97.0
452,98.0
453,91.0
454,99.0
455,98.0
456,101.0
457,119.0
458,99.0
459,105.0
460,126.0
461,132.0
462,131.0
463,121.0
464,126.0
465,154.0
466,142.0
467,146.0
468,137.0
469,155.0
470,147.0
471,145.0
472,147.0
473,151.0
474,151.0
475,127.0
476,129.0
477,131.0
478,113.0
479,104.0
480,97.0
481,120.0
482,116.0
483,125.0
484,120.0
485,145.0
486,119.0
487,112.0
488,111.0
489,94.0
490,89.0
491,99.0
492,90.0
493,87.0
494,83.0
495,85.0
496,86.0
497,93.0
498,97.0
499,115.0
500,107.0
501,102.0
502,96.0
503,104.0
504,98.0
505,125.0
506,126.0
507,133.0
508,125.0
509,114.0
510,100.0
511,70.0
512,67.0
513,64.0
514,65.0
515,53.0
516,50.0
517,57.0
518,74.0
519,90.0
520,80.0
521,95.0
522,86.0
523,77.0
524,80.0
525,82.0
526,73.0
527,64.0
528,71.0
529,87.0
530,86.0
531,97.0
532,90.0
533,103.0
534,87.0
535,91.0
536,83.0
537,95.0
538,104.0
539,115.0
540,129.0
541,113.0
542,119.0
543,116.0
544,123.0
545,116.0
546,112.0
547,108.0
548,113.0
549,112.0
550,123.0
551,133.0
552,125.0
553,125.0
554,108.0
555,98.0
556,105.0
557,112.0
558,114.0
559,140.0
560,154.0
561,144.0
562,146.0
563,135.0
564,140.0
565,140.0
566,126.0
567,115.0
568,111.0
569,108.0
570,98.0
571,100.0
572,102.0
573,96.0
574,95.0
575,103.0
576,113.0
577,108.0
578,123.0
579,142.0
580,156.0
581,144.0
582,140.0
583,135.0
584,118.0
585,131.0
586,136.0
587,148.0
588,140.0
589,119.0
590,124.0
591,116.0
592,118.0
593,124.0
594,137.0
595,119.0
596,114.0
597,111.0
598,93.0
599,102.0
600,82.0
601,92.0
602,90.0
603,78.0
604,69.0
605,76.0
606,73.0
607,74.0
608,74.0
609,80.0
610,78.0
611,86.0
612,86.0
613,72.0
614,55.0
615,55.0
616,57.0
617,62.0
618,66.0
619,84.0
620,77.0
621,97.0
622,85.0
623,83.0
624,85.0
625,87.0
626,91.0
627,87.0
628,91.0
629,88.0
630,78.0
631,78.0
632,76.0
633,73.0
634,81.0
635,88.0
636,91.0
637,89.0
638,94.0
639,80.0
640,80.0
641,80.0
642,61.0
643,54.0
644,51.0
645,62.0
646,65.0
647,54.0
648,59.0
649,64.0
650,47.0
651,42.0
652,41.0
653,38.0
654,32.0
655,28.0
656,34.0
657,36.0
658,36.0
659,41.0
660,49.0
661,45.0
662,58.0
663,66.0
664,72.0
665,92.0
666,102.0
667,119.0
668,119.0
669,126.0
670,154.0
671,187.0
672,217.0
673,211.0
674,208.0
675,222.0
676,198.0
677,210.0
678,197.0
679,180.0
680,191.0
681,184.0
682,195.0
683,202.0
684,184.0
685,190.0
686,160.0
687,172.0
688,151.0
689,140.0
690,132.0
691,126.0
692,103.0
693,97.0
694,80.0
695,84.0
696,79.0
697,80.0
698,78.0
699,79.0
700,79.0
701,83.0
702,78.0
703,81.0
704,81.0
705,98.0
706,111.0
707,104.0
708,92.0
709,61.0
710,60.0
711,45.0
712,57.0
713,52.0
714,47.0
715,44.0
716,47.0
717,51.0
718,63.0
719,69.0
720,64.0
721,75.0
722,75.0
723,82.0
724,81.0
725,83.0
726,82.0
727,80.0
728,89.0
729,85.0
730,84.0
731,86.0
732,108.0
733,113.0
734,111.0
735,109.0
736,107.0
737,101.0
738,108.0
739,98.0
740,117.0
741,134.0
742,154.0
743,146.0
744,144.0
745,116.0
746,113.0
747,107.0
748,86.0
749,85.0
750,93.0
751,94.0
752,108.0
753,116.0
754,125.0
755,136.0
756,129.0
757,142.0
758,135.0
759,139.0
760,150.0
761,150.0
762,156.0
763,143.0
764,131.0
765,126.0
766,105.0
767,101.0
768,106.0
769,107.0
770,107.0
771,102.0
772,96.0
773,121.0
774,112.0
775,114.0
776,94.0
777,87.0
778,76.0
779,82.0
780,76.0
781,75.0
782,69.0
783,63.0
784,72.0
785,68.0
786,76.0
787,71.0
788,60.0
789,60.0
790,64.0
791,76.0
792,80.0
793,90.0
794,88.0
795,81.0
796,72.0
797,75.0
798,74.0
799,76.0
800,66.0
801,50.0
802,48.0
803,52.0
804,46.0
805,50.0
806,45.0
807,46.0
808,52.0
809,62.0
810,66.0
811,58.0
812,63.0
813,57.0
814,72.0
815,72.0
816,78.0
817,111.0
818,109.0
819,124.0
820,122.0
821,123.0
822,107.0
823,116.0
824,105.0
825,102.0
826,107.0
827,139.0
828,136.0
829,120.0
830,145.0
831,151.0
832,149.0
833,142.0
834,147.0
835,123.0
836,124.0
837,127.0
838,139.0
839,132.0
840,122.0
841,107.0
842,95.0
843,108.0
844,109.0
845,93.0
846,101.0
847,117.0
848,122.0
849,144.0
850,144.0
851,142.0
852,141.0
853,164.0
854,157.0
855,142.0
856,126.0
857,116.0
858,117.0
859,114.0
860,129.0
861,130.0
862,117.0
863,117.0
864,111.0
865,114.0
866,90.0
867,100.0
868,102.0
869,86.0
870,95.0
871,93.0
872,97.0
873,110.0
874,109.0
875,110.0
876,113.0
877,114.0
878,106.0
879,97.0
880,93.0
881,91.0
882,98.0
883,106.0
884,101.0
885,80.0
886,77.0
887,81.0
888,84.0
889,87.0
890,89.0
891,87.0
892,82.0
893,87.0
894,101.0
895,111.0
896,109.0
897,125.0
898,113.0
899,116.0
900,115.0
901,104.0
902,118.0
903,98.0
904,88.0
905,79.0
906,75.0
907,70.0
908,81.0
909,85.0
910,85.0
911,76.0
912,89.0
913,82.0
914,87.0
915,98.0
916,103.0
917,91.0
918,88.0
919,87.0
920,82.0
921,90.0
922,102.0
923,96.0
924,87.0
925,88.0
926,93.0
927,90.0
928,103.0
929,135.0
930,123.0
931,126.0
932,124.0
933,123.0
934,127.0
935,129.0
936,121.0
937,116.0
938,106.0
939,101.0
940,101.0
941,103.0
942,101.0
943,87.0
944,83.0
945,77.0
946,65.0
947,70.0
948,69.0
949,70.0
950,58.0
951,56.0
952,69.0
953,58.0
954,62.0
955,56.0
956,52.0
957,44.0
958,57.0
959,53.0
960,53.0
961,49.0
962,54.0
963,62.0
964,70.0
965,61.0
966,70.0
967,73.0
968,86.0
969,92.0
970,100.0
971,90.0
972,86.0
973,103.0
974,115.0
975,122.0
976,142.0
977,173.0
978,176.0
979,181.0
980,177.0
981,158.0
982,179.0
983,174.0
984,184.0
985,182.0
986,199.0
987,177.0
988,201.0
989,184.0
990,172.0
991,154.0
992,158.0
993,151.0
994,139.0
995,133.0
996,110.0
997,100.0
998,91.0
999,98.0
1000,104.0
1001,97.0
1002,95.0
1003,121.0
1004,108.0
1005,95.0
1006,85.0
1007,84.0
1008,90.0
1009,95.0
1010,94.0
1011,94.0
1012,105.0
1013,113.0
1014,102.0
1015,104.0
1016,118.0
1017,108.0
1018,126.0
1019,124.0
1020,126.0
1021,130.0
1022,119.0
1023,122.0
1024,129.0
1025,121.0
1026,110.0
1027,101.0
1028,109.0
1029,98.0
1030,105.0
1031,92.0
1032,94.0
1033,107.0
1034,115.0
1035,115.0
1036,105.0
1037,112.0
1038,102.0
1039,102.0
1040,75.0
1041,83.0
1042,81.0
1043,94.0
1044,94.0
