timestep,firing_count
0,1
1,2
2,5
3,8
4,19
5,31
6,68
7,134
8,271
9,504
10,934
11,1661
12,2582
13,3249
14,3048
15,2145
16,1235
17,678
18,408
19,244
20,149
21,96
22,76
23,51
24,47
25,36
26,44
27,32
28,21
29,28
30,39
31,43
32,59
33,77
34,117
35,146
36,181
37,247
38,349
39,469
40,565
41,709
42,852
43,1025
44,1068
45,1104
46,1024
47,948
48,849
49,749
50,609
51,490
52,430
53,359
54,315
55,301
56,277
57,276
58,277
59,256
60,237
61,239
62,238
63,249
64,263
65,288
66,303
67,333
68,393
69,403
70,435
71,499
72,535
73,591
74,616
75,700
76,700
77,716
78,712
79,737
80,715
81,641
82,619
83,553
84,502
85,455
86,419
87,374
88,327
89,334
90,306
91,310
92,307
93,299
94,323
95,308
96,334
97,355
98,407
99,429
100,475
101,479
102,534
103,572
104,594
105,587
106,662
107,626
108,606
109,554
110,515
111,482
112,492
113,461
114,469
115,465
116,453
117,445
118,437
119,399
120,397
121,402
122,424
123,374
124,349
125,316
126,373
127,384
128,411
129,435
130,440
131,449
132,460
133,468
134,467
135,504
136,556
137,558
138,570
139,554
140,554
141,536
142,524
143,491
144,497
145,442
146,413
147,403
148,404
149,395
150,414
151,386
152,334
153,336
154,344
155,359
156,369
157,401
158,408
159,420
160,440
161,444
162,443
163,453
164,498
165,510
166,549
167,592
168,602
169,586
170,550
171,543
172,499
173,476
174,458
175,412
176,408
177,373
178,364
179,377
180,408
181,421
182,401
183,383
184,420
185,406
186,449
187,463
188,488
189,514
190,527
191,537
192,485
193,503
194,459
195,476
196,474
197,463
198,431
199,459
200,464
201,421
202,434
203,471
204,481
205,473
206,464
207,472
208,470
209,450
210,483
211,487
212,485
213,440
214,482
215,473
216,447
217,438
218,451
219,447
220,400
221,451
222,412
223,444
224,457
225,501
226,487
227,504
228,499
229,512
230,525
231,551
232,595
233,599
234,575
235,549
236,556
237,531
238,507
239,475
240,425
241,406
242,357
243,356
244,344
245,354
246,357
247,382
248,354
249,376
250,386
251,381
252,424
253,461
254,494
255,533
256,537
257,556
258,549
259,604
260,598
261,602
262,583
263,589
264,580
265,566
266,487
267,426
268,367
269,341
270,354
271,355
272,364
273,348
274,372
275,343
276,356
277,354
278,362
279,400
280,444
281,509
282,509
283,491
284,521
285,542
286,529
287,548
288,507
289,535
290,523
291,502
292,483
293,464
294,478
295,504
296,497
297,528
298,541
299,522
300,481
301,453
302,432
303,445
304,432
305,444
306,418
307,423
308,419
309,421
310,439
311,469
312,460
313,460
314,496
315,519
316,540
317,551
318,518
319,486
320,466
321,489
322,463
323,451
324,432
325,448
326,434
327,444
328,455
329,458
330,488
331,475
332,483
333,459
334,448
335,430
336,418
337,430
338,449
339,462
340,459
341,464
342,456
343,488
344,484
345,522
346,536
347,513
348,499
349,448
350,422
351,424
352,428
353,430
354,476
355,511
356,467
357,450
358,456
359,455
360,477
361,459
362,451
363,437
364,416
365,379
366,383
367,392
368,363
369,370
370,397
371,396
372,399
373,426
374,450
375,497
376,491
377,539
378,601
379,584
380,594
381,621
382,583
383,567
384,555
385,530
386,496
387,469
388,456
389,456
390,435
391,398
392,343
393,334
394,312
395,306
396,328
397,331
398,359
399,400
400,425
401,418
402,444
403,457
404,501
405,568
406,604
407,654
408,660
409,712
410,707
411,633
412,555
413,509
414,484
415,472
416,416
417,402
418,374
419,356
420,350
421,337
422,339
423,326
424,369
425,386
426,414
427,446
428,501
429,560
430,568
431,582
432,582
433,570
434,532
435,498
436,483
437,465
438,445
439,460
440,431
441,430
442,398
443,410
444,432
445,456
446,447
447,455
448,485
449,495
450,515
451,491
452,502
453,511
454,501
455,499
456,495
457,508
458,529
459,527
460,506
461,494
462,445
463,402
464,401
465,369
466,354
467,359
468,377
469,378
470,378
471,366
472,357
473,348
474,351
475,409
476,439
477,464
478,543
479,606
480,613
481,607
482,592
483,613
484,598
485,582
486,504
487,481
488,448
489,421
490,404
491,413
492,401
493,371
494,372
495,382
496,390
497,413
498,438
499,427
500,436
501,446
502,451
503,450
504,442
505,446
506,472
507,505
508,493
509,513
510,496
511,511
512,511
513,493
514,495
515,494
516,495
517,475
518,504
519,514
520,485
521,469
522,488
523,468
524,486
525,471
526,449
527,445
528,474
529,445
530,424
531,445
532,405
533,408
534,413
535,405
536,405
537,385
538,404
539,443
540,447
541,454
542,476
543,473
544,505
545,529
546,559
547,583
548,529
549,519
550,510
551,490
552,497
553,491
554,471
555,447
556,474
557,501
558,529
559,530
560,517
561,489
562,463
563,428
564,426
565,418
566,409
567,410
568,381
569,365
570,351
571,358
572,370
573,371
574,356
575,407
576,413
577,480
578,497
579,481
580,496
581,482
582,479
583,482
584,504
585,521
586,520
587,487
588,491
589,507
590,524
591,549
592,561
593,553
594,564
595,541
596,484
597,457
598,427
599,421
600,437
601,436
602,384
603,373
604,372
605,364
606,371
607,381
608,360
609,384
610,389
611,435
612,450
613,482
614,524
615,548
616,545
617,576
618,576
619,549
620,527
621,515
622,503
623,503
624,462
625,459
626,416
627,386
628,361
629,359
630,335
631,342
632,352
633,372
634,381
635,415
636,447
637,502
638,503
639,504
640,508
641,541
642,571
643,534
644,569
645,584
646,599
647,550
648,515
649,471
650,435
651,446
652,432
653,436
654,416
655,413
656,413
657,398
658,391
659,383
660,388
661,412
662,461
663,499
664,464
665,472
666,510
667,523
668,551
669,521
670,481
671,499
672,525
673,506
674,519
675,466
676,484
677,459
678,417
679,442
680,413
681,412
682,419
683,412
684,436
685,458
686,453
687,465
688,515
689,496
690,526
691,531
692,503
693,508
694,505
695,474
696,445
697,417
698,425
699,440
700,425
701,422
702,428
703,441
704,425
705,455
706,465
707,457
708,481
709,532
710,542
711,541
712,521
713,542
714,553
715,538
716,518
717,507
718,463
719,421
720,419
721,450
722,420
723,469
724,472
725,467
726,445
727,436
728,434
729,484
730,496
731,515
732,509
733,528
734,524
735,518
736,485
737,497
738,483
739,464
740,501
741,453
742,471
743,448
744,428
745,397
746,414
747,410
748,427
749,420
750,415
751,432
752,418
753,471
754,481
755,526
756,506
757,538
758,530
759,549
760,526
761,514
762,497
763,490
764,461
765,448
766,456
767,461
768,466
769,473
770,479
771,450
772,461
773,423
774,389
775,386
776,359
777,393
778,416
779,436
780,449
781,488
782,493
783,496
784,478
785,454
786,480
787,475
788,481
789,453
790,479
791,455
792,425
793,452
794,442
795,425
796,454
797,465
798,460
799,495
800,527
801,560
802,555
803,550
804,575
805,546
806,487
807,480
808,485
809,481
810,464
811,472
812,444
813,432
814,390
815,368
816,355
817,327
818,317
819,339
820,341
821,359
822,377
823,417
824,433
825,432
826,417
827,448
828,466
829,476
830,513
831,498
832,500
833,508
834,486
835,493
836,486
837,528
838,522
839,505
840,542
841,512
842,480
843,456
844,482
845,483
846,460
847,461
848,457
849,441
850,441
851,434
852,468
853,450
854,443
855,443
856,403
857,411
858,412
859,370
860,362
861,334
862,362
863,372
864,365
865,408
866,485
867,501
868,528
869,530
870,539
871,543
872,549
873,593
874,600
875,580
876,541
877,539
878,539
879,480
880,504
881,463
882,447
883,435
884,414
885,408
886,410
887,427
888,411
889,375
890,396
891,357
892,377
893,408
894,457
895,487
896,476
897,503
898,495
899,502
900,530
901,557
902,552
903,563
904,571
905,506
906,503
907,465
908,463
909,492
910,483
911,438
912,429
913,382
914,397
915,401
916,403
917,413
918,437
919,466
920,498
921,484
922,455
923,469
924,501
925,460
926,480
927,515
928,490
929,471
930,460
931,430
932,403
933,420
934,438
935,422
936,397
937,404
938,393
939,380
940,391
941,406
942,455
943,477
944,523
945,521
946,560
947,570
948,568
949,588
950,622
951,575
952,493
953,440
954,443
955,440
956,394
957,371
958,384
959,387
