timestep,firing_count
0,147
1,13195
2,6657
3,16
4,202
5,2404
6,2380
7,1464
8,1538
9,1668
10,1744
11,1662
12,1656
13,1629
14,1708
15,1677
16,1679
17,1652
18,1701
19,1667
20,1721
21,1660
22,1620
23,1660
24,1642
25,1700
26,1629
27,1664
28,1641
29,1646
30,1636
31,1682
32,1675
33,1692
34,1667
35,1712
36,1613
37,1641
38,1677
39,1625
40,1667
41,1622
42,1743
43,1643
44,1653
45,1645
46,1767
47,1594
48,1670
49,1601
50,1643
51,1642
52,1736
53,1768
54,1628
55,1649
56,1654
57,1655
58,1670
59,1693
60,1703
61,1618
62,1660
63,1674
64,1651
65,1648
66,1607
67,1659
68,1739
69,1685
70,1640
71,1643
72,1635
73,1666
74,1697
75,1612
76,1629
77,1651
78,1604
79,1586
80,1742
81,1645
82,1679
83,1616
84,1667
85,1629
86,1672
87,1639
88,1626
89,1657
90,1724
91,1643
92,1653
93,1710
94,1683
95,1613
96,1676
97,1639
98,1720
99,1679
100,1596
101,1649
102,1665
103,1700
104,1623
105,1670
106,1621
107,1684
108,1679
109,1685
110,1627
111,1706
112,1618
113,1686
114,1664
115,1656
116,1680
117,1693
118,1648
119,1646
120,1671
121,1651
122,1677
123,1629
124,1634
125,1719
126,1739
127,1639
128,1624
129,1687
130,1641
131,1647
132,1687
133,1600
134,1665
135,1662
136,1673
137,1700
138,1635
139,1639
140,1706
141,1606
142,1654
143,1724
144,1691
145,1692
146,1691
147,1688
148,1621
149,1711
150,1708
151,1741
152,1669
153,1626
154,1655
155,1756
156,1624
157,1685
158,1602
159,1718
160,1656
161,1632
162,1691
163,1665
164,1726
165,1636
166,1640
167,1731
168,1647
169,1709
170,1660
171,1640
172,1686
173,1722
174,1606
175,1655
176,1762
177,1683
178,1678
179,1701
180,1638
181,1647
182,1575
183,1631
184,1691
185,1627
186,1641
187,1676
188,1680
189,1697
190,1585
191,1710
192,1687
193,1627
194,1630
195,1644
196,1718
197,1631
198,1672
199,1643
200,1627
201,1644
202,1724
203,1631
204,1665
205,1647
206,1726
207,1626
208,1648
209,1763
210,1695
211,1607
212,1663
213,1658
214,1669
215,1734
216,1621
217,1682
218,1652
219,1726
220,1680
221,1649
222,1699
223,1689
224,1656
225,1634
226,1654
227,1699
228,1644
229,1650
230,1625
231,1727
232,1611
233,1688
234,1660
235,1637
236,1676
237,1595
238,1609
239,1711
240,1706
241,1667
242,1685
243,1591
244,1677
245,1651
246,1691
247,1688
248,1666
249,1671
250,1569
251,1643
252,1666
253,1758
254,1702
255,1655
256,1614
257,1664
258,1715
259,1624
260,1651
261,1684
262,1731
263,1635
264,1624
265,1616
266,1625
267,1678
268,1705
269,1659
270,1655
271,1612
272,1650
273,1708
274,1684
275,1613
276,1719
277,1727
278,1596
279,1703
280,1697
281,1628
282,1584
283,1705
284,1727
285,1630
286,1741
287,1633
288,1728
289,1697
290,1635
291,1651
292,1633
293,1610
294,1710
295,1717
296,1588
297,1703
298,1625
299,1588
300,1690
301,1712
302,1707
303,1683
304,1638
305,1614
306,1701
307,1632
308,1656
309,1704
310,1702
311,1622
312,1613
313,1639
314,1697
315,1703
316,1658
317,1645
318,1679
319,1697
320,1622
321,1697
322,1601
323,1680
324,1704
325,1716
326,1641
327,1643
328,1670
329,1667
330,1641
331,1704
332,1646
333,1674
334,1703
335,1678
336,1639
337,1756
338,1683
339,1678
340,1616
341,1658
342,1688
343,1673
344,1615
345,1731
346,1670
347,1648
348,1720
349,1722
350,1664
351,1659
352,1554
353,1720
354,1763
355,1672
356,1658
357,1702
358,1643
359,1713
360,1634
361,1719
362,1722
363,1684
364,1699
365,1684
366,1701
367,1607
368,1673
369,1687
370,1724
371,1683
372,1679
373,1694
374,1671
375,1651
376,1653
377,1635
378,1678
379,1709
380,1700
381,1649
382,1730
383,1632
384,1653
385,1692
386,1659
387,1670
388,1653
389,1672
390,1688
391,1643
392,1669
393,1684
394,1690
395,1677
396,1619
397,1623
398,1673
399,1744
400,1544
401,1674
402,1704
403,1669
404,1660
405,1698
406,1702
407,1701
408,1669
409,1679
410,1672
411,1623
412,1710
413,1673
414,1709
415,1646
416,1749
417,1670
418,1715
419,1613
420,1701
421,1645
422,1626
423,1678
424,1617
425,1686
426,1708
427,1698
428,1727
429,1648
430,1624
431,1587
432,1731
433,1613
434,1585
435,1622
436,1730
437,1645
438,1617
439,1628
440,1684
441,1639
442,1666
443,1705
444,1619
445,1676
446,1689
447,1646
448,1698
449,1623
450,1712
451,1755
452,1687
453,1601
454,1706
455,1641
456,1637
457,1704
458,1680
459,1692
460,1649
461,1691
462,1675
463,1645
464,1635
465,1722
466,1631
467,1653
468,1669
469,1591
470,1722
471,1710
472,1681
473,1637
474,1738
475,1642
476,1617
477,1665
478,1711
479,1663
480,1661
481,1617
482,1660
483,1687
484,1643
485,1615
486,1683
487,1713
488,1579
489,1674
490,1690
491,1622
492,1677
493,1721
494,1634
495,1767
496,1698
497,1673
498,1641
499,1627
500,1664
501,1679
502,1606
503,1690
504,1644
505,1685
506,1721
507,1748
508,1685
509,1684
510,1624
511,1688
512,1664
513,1663
514,1643
515,1655
516,1652
517,1719
518,1676
519,1656
520,1717
521,1693
522,1714
523,1704
524,1672
525,1674
526,1661
527,1635
528,1702
529,1606
530,1648
531,1672
532,1688
533,1672
534,1669
535,1614
536,1602
537,1723
538,1612
539,1586
540,1705
541,1659
542,1650
543,1604
544,1692
545,1649
546,1679
547,1636
548,1686
549,1595
550,1611
551,1693
552,1620
553,1629
554,1666
555,1711
556,1680
557,1665
558,1599
559,1752
560,1646
561,1716
562,1616
563,1624
564,1717
565,1756
566,1663
567,1697
568,1692
569,1654
570,1643
571,1666
572,1712
573,1628
574,1670
575,1700
576,1621
577,1732
578,1689
579,1659
580,1728
581,1658
582,1620
583,1637
584,1695
585,1698
586,1698
587,1737
588,1713
589,1667
590,1583
591,1701
592,1656
593,1728
594,1538
595,1740
596,1624
597,1656
598,1660
599,1676
600,1659
601,1714
602,1644
603,1654
604,1594
605,1710
606,1678
607,1652
608,1663
609,1692
610,1641
611,1630
612,1703
613,1628
614,1669
615,1699
616,1704
617,1602
618,1671
619,1637
620,1681
621,1707
622,1734
623,1673
624,1668
625,1704
626,1676
627,1651
628,1640
629,1657
630,1714
631,1637
632,1681
633,1654
634,1732
635,1628
636,1670
637,1667
638,1623
639,1687
640,1674
641,1718
642,1717
643,1678
644,1663
645,1621
646,1703
647,1765
648,1703
649,1630
650,1673
651,1650
652,1639
653,1692
654,1686
655,1658
656,1656
657,1710
658,1664
659,1628
660,1678
661,1723
662,1621
663,1559
664,1676
665,1656
666,1639
667,1655
668,1659
669,1660
670,1677
671,1690
672,1629
673,1720
674,1658
675,1689
676,1634
677,1660
678,1707
679,1611
680,1706
681,1622
682,1730
683,1615
684,1696
685,1619
686,1663
687,1662
688,1695
689,1702
690,1670
691,1639
692,1632
693,1657
694,1650
695,1736
696,1661
697,1572
698,1687
699,1657
700,1666
701,1599
702,1670
703,1649
704,1670
705,1662
706,1627
707,1643
708,1708
709,1650
710,1688
711,1633
712,1799
713,1659
714,1684
715,1621
716,1661
717,1744
718,1650
719,1651
720,1666
721,1700
722,1640
723,1647
724,1708
725,1661
726,1717
727,1693
728,1671
729,1643
730,1667
731,1634
732,1673
733,1665
734,1758
735,1706
736,1617
737,1658
738,1644
739,1644
740,1636
741,1686
742,1688
743,1675
744,1687
745,1678
746,1622
747,1674
748,1721
749,1656
750,1672
751,1689
752,1623
753,1673
754,1674
755,1704
756,1579
757,1651
758,1656
759,1590
760,1635
761,1705
762,1713
763,1580
764,1716
765,1617
766,1713
767,1642
768,1707
769,1682
770,1647
771,1666
772,1624
773,1649
774,1576
775,1673
776,1588
777,1745
778,1654
779,1696
780,1657
781,1699
782,1630
783,1636
784,1679
785,1686
786,1681
787,1649
788,1674
789,1632
790,1693
791,1630
792,1667
793,1624
794,1699
795,1677
796,1672
797,1601
798,1676
799,1717
800,1714
801,1601
802,1636
803,1638
804,1684
805,1645
806,1700
807,1677
808,1616
809,1715
810,1702
811,1661
812,1623
813,1695
814,1711
815,1676
816,1663
817,1716
818,1693
819,1668
820,1610
821,1734
822,1608
823,1659
824,1637
825,1584
826,1696
827,1674
828,1632
829,1627
830,1649
831,1711
832,1727
833,1697
834,1654
835,1686
836,1733
837,1639
838,1684
839,1680
840,1661
841,1679
842,1636
843,1728
844,1646
845,1685
846,1654
847,1684
848,1666
849,1688
850,1739
851,1606
852,1593
853,1669
854,1640
855,1661
856,1686
857,1716
858,1612
859,1618
860,1707
861,1630
862,1674
863,1704
864,1631
865,1610
866,1695
867,1714
868,1665
869,1695
870,1686
871,1671
872,1619
873,1711
874,1678
875,1619
876,1709
877,1676
878,1625
879,1591
880,1733
881,1685
882,1648
883,1691
884,1715
885,1589
886,1645
887,1675
888,1669
889,1681
890,1631
891,1647
892,1706
893,1662
894,1704
895,1651
896,1666
897,1634
898,1674
899,1713
900,1624
901,1662
902,1667
903,1728
904,1625
905,1634
906,1614
907,1714
908,1737
909,1713
910,1651
911,1665
912,1685
913,1707
914,1636
915,1642
916,1702
917,1653
918,1681
919,1699
920,1623
921,1691
922,1727
923,1640
924,1692
925,1701
926,1732
927,1717
928,1663
929,1681
930,1730
931,1665
932,1663
933,1659
934,1702
935,1610
936,1688
937,1696
938,1653
939,1664
940,1676
941,1643
942,1697
943,1659
944,1637
945,1689
946,1685
947,1627
948,1635
949,1663
950,1631
951,1723
952,1687
953,1716
954,1665
955,1701
956,1645
957,1691
958,1613
959,1651
960,1661
961,1655
962,1725
963,1667
964,1622
965,1620
966,1674
967,1602
968,1760
969,1727
970,1621
971,1759
972,1684
973,1627
974,1711
975,1648
976,1669
977,1632
978,1655
979,1699
980,1688
981,1599
982,1710
983,1660
984,1627
985,1636
986,1716
987,1712
988,1665
989,1634
990,1636
