scope,beta,alpha_c_ml,ci95_lo,ci95_hi
per_beta,0.05,0.005020452558201097,0.004890491055471177,0.005139090086954538
per_beta,0.1,0.0049507245604192745,0.004817784654916979,0.005076270955062039
per_beta,0.15,0.005067405898059566,0.004937880156211983,0.005185190914469421
per_beta,0.2,0.005065492773040163,0.00493105814761135,0.005187888900835188
per_beta,0.25,0.004916555704676722,0.004780000766226565,0.005046622580163334
per_beta,0.3,0.005054962683250529,0.004925484125604354,0.00517301846705385
per_beta,0.35,0.005059494928120109,0.00492497437159339,0.005182298619071872
per_beta,0.4,0.004933095205819758,0.004797496270905782,0.005061596080873962
per_beta,0.45,0.005053051809763418,0.004923669550605435,0.00517115028464402
per_beta,0.5,0.005136017853335313,0.00501083846050062,0.005248250897566838
per_beta,0.55,0.005003909070619202,0.004869910624771566,0.005129211204929741
per_beta,0.6,0.004990465060670735,0.004859711180918726,0.0051127599782994845
per_beta,0.65,0.004919143999483744,0.004785480611957397,0.005046629843061332
per_beta,0.7,0.004998013489170425,0.004868972388470435,0.005118194096364764
per_beta,0.75,0.005072154600789057,0.0049433155998442006,0.005189191196980324
per_beta,0.8,0.005092858347803676,0.004964947789993832,0.005208722702857887
per_beta,0.85,0.005081079795881148,0.004949921880694094,0.005200068246905857
per_beta,0.9,0.00512334153147201,0.005000280275741354,0.005233733303942484
per_beta,0.95,0.005006309830802509,0.004875476083777903,0.005128281055415331
per_beta,1.0,0.005041151128974901,0.004911352601877758,0.005159819445252571
pooled,,0.00502934379959212,0.005000659477012556,0.005057083762606378
