subject,condition,n_epochs_total,n_rejected,n_rej_blink,n_rej_ptp,n_accepted,n_admissible,mean_RI_v1,mean_Q_v1,mean_r_v1,mean_c_v1,mean_log_alpha,mean_sp_alpha_pw,median_f0,mean_RI_v0_published_pipeline
1,EO,15,9,9,0,6,2,1.0147091625296618,2.175194496392254,0.177712955333443,0.8466679202351837,2.2113403116341974,0.3502106738574784,3.2971625580476456,0.13326666666666667
1,EC,15,2,2,0,13,13,2.570379659896465,7.942074881570409,0.628151863958586,0.6995098344842768,3.4239945061181722,1.8764157652257158,10.1367605309957,2.263465599099475
2,EO,15,12,12,0,3,3,1.4744395008800992,5.719625673987845,0.3304573367869442,0.3127683944165154,1.7218811362385271,0.9998988207734936,11.486016655017345,1.3287710802117085
2,EC,15,0,0,0,15,14,2.351402923044321,8.910954067254565,0.5804780690583372,0.6155516000610609,2.838720765957227,1.9074944753909708,11.137204701096291,2.1119895737325822
3,EO,15,15,15,0,0,0,,,,,,,,0.4397676699995703
3,EC,15,1,1,0,14,14,2.3680105829314217,7.366558190209752,0.6129932036903493,0.6134149473777278,3.385701138421866,1.8702852731845725,10.331615070921744,2.0347195774120626
4,EO,15,7,7,0,8,5,1.453542404883709,1.7973597644167847,0.22027143690433332,0.5875452632628226,1.1312041884634154,0.3371658782793576,4.058365425975294,0.6878414182906063
4,EC,15,0,0,0,15,15,2.653643002601919,9.949929407824099,0.6614572010407679,0.7584232150170541,2.6312191219009002,1.9485921905636137,10.719175893538717,2.4666024685525585
5,EO,15,1,1,0,14,12,1.1509583068771823,2.674028593429385,0.1813302771467287,0.6152286853685551,1.279958683568613,0.3559000983280653,5.425684181084482,0.5777642271987576
5,EC,15,1,0,1,14,11,1.426752406136619,3.800442867853251,0.24819489298457695,0.5662111710567663,1.4652800961265824,0.7100975779819255,5.967510274974766,0.5660851343727985
6,EO,15,15,15,0,0,0,,,,,,,,0.27629429762030616
6,EC,15,0,0,0,15,11,1.2591842903003323,3.3524878782604643,0.18709669931257603,0.6608530916060195,1.20050822430776,0.2762473027084262,6.469250302919971,0.2615788639367423
7,EO,15,15,15,0,0,0,,,,,,,,1.6392519772237293
7,EC,15,0,0,0,15,15,2.734984527239142,8.231439462866517,0.7342001239114676,0.5574601997096958,3.181800160450826,1.982109406738074,11.469215479294268,2.120481308427016
8,EO,15,12,12,0,3,1,0.0,0.9598200147031516,-0.0220487149624189,0.4120215886896393,1.561412142977956,0.4643778442436652,3.163252070421879,0.9841134044908365
8,EC,15,4,4,0,11,11,1.8089182411814724,7.319068495177652,0.3692658831190824,0.6450556307393723,2.4459006644244248,1.4107020678307902,9.445979044168382,1.6507009297890158
9,EO,15,15,15,0,0,0,,,,,,,,0.6482478154163748
9,EC,15,0,0,0,15,15,1.6045562627760457,6.046606263815574,0.28696140246562885,0.5436986425518936,2.395565625552729,1.0883075878108834,10.107182098182744,1.0987482645901265
10,EO,15,8,8,0,7,7,1.4599327782752003,1.6781973673154051,0.2049811241813271,0.643826751156288,2.100399214813996,0.5419860223424688,4.244751315078138,0.3038635450174228
10,EC,15,2,1,1,13,13,2.142517580543078,6.332802803803046,0.5023265130320922,0.5844135354312433,3.060681649718956,1.5499558208796278,9.615296092411883,1.8155018490989492
11,EO,15,9,8,1,6,5,0.9867636936185052,3.4682461307557757,0.19333323161421387,0.425756978529217,1.2479771319891808,0.5124364285160918,6.922073014034587,0.6238610817653677
11,EC,15,0,0,0,15,15,2.323352967156225,6.275937870264607,0.5322912929017015,0.5765568229406488,2.3227730868288545,1.5965433778076963,10.396612190473157,1.771633782641848
12,EO,15,8,8,0,7,4,0.47823383526477964,0.9803030303851221,0.0670959703767368,0.5486248569880878,1.2048032976057745,0.15325367526084518,7.024307059625891,0.3018314024048448
12,EC,15,0,0,0,15,14,1.1136874926694897,4.293930454947661,0.19504457174986436,0.5529996617445808,1.4864005814428372,0.666894674598611,7.0872105375673655,0.8494175285445104
13,EO,15,10,10,0,5,5,1.2754906027261697,1.699954661903568,0.21577133581604097,0.6668036434973703,2.1239717932207514,0.35578012363919337,4.254688806769458,0.8760199727313941
13,EC,15,3,2,1,12,12,1.4937651016629265,3.906609040595383,0.27230989076390816,0.4791490138750965,2.434062951928654,0.7530266537842832,7.82679463213424,1.3889462751576112
14,EO,15,3,3,0,12,9,1.6778177017425946,4.6860917402336915,0.3154587558335629,0.4967065796438801,1.960453783698198,0.9250337304499079,7.887450753844511,0.44651285846292205
14,EC,15,0,0,0,15,15,2.079232221702894,5.578747966380101,0.46441384059698415,0.527813847047944,2.435336392168435,1.208904995927355,9.544141231241154,1.512457003145448
15,EO,15,1,1,0,14,9,1.5974507383253764,4.578183380623049,0.2967308984340178,0.5046304306521247,2.4921641049591954,0.7622968395079331,9.682308087410462,0.28551001383564173
15,EC,15,0,0,0,15,14,1.941434244640184,6.909817578250069,0.43938566702147464,0.46563684194309435,2.938338145936047,1.1433864790930781,10.75585065671283,1.4795513677565109
16,EO,15,0,0,0,15,10,1.2576906894727276,2.2376226213751362,0.19711632749515343,0.6688441428571016,0.886180020527998,0.28155443143326575,4.452656570859004,0.32859425164158207
16,EC,15,1,0,1,14,13,1.6808710870406502,6.626556476389467,0.33163765390514516,0.554547595401626,1.3888849336075035,1.1150602085624504,11.89796082582006,1.517255129253141
17,EO,15,3,3,1,12,11,1.3032577293094434,3.4175498179790114,0.19567613658467853,0.5433824476684024,1.8170570660594714,0.45946539375417733,6.317136277906789,0.2610938638920672
17,EC,15,1,1,0,14,14,1.7179714344986325,5.849647923174317,0.3592706535478732,0.5054772831884072,2.8064331946140797,1.3267387160192103,10.391698684242069,1.36719498488916
18,EO,15,15,15,0,0,0,,,,,,,,0.22535145353523653
18,EC,15,0,0,0,15,13,1.8216552614325692,7.100364007748951,0.37955109726878555,0.5855829403512633,1.8627245122569642,1.0173576617976205,10.351077852068787,1.6004745375989382
19,EO,15,8,8,0,7,4,1.1106289882971756,2.206803731306505,0.15224914844122245,0.664639353961178,1.9135011142417968,0.583323553331649,5.858762238815512,0.19008187541999133
19,EC,15,0,0,0,15,14,1.3678502199656375,3.084860823494907,0.23068991227486818,0.6832330842028973,1.924507700024756,0.48171466040388505,4.06620877310549,0.793914181751576
20,EO,15,4,4,0,11,7,1.4327592122390127,1.9997668384829372,0.19331056597586938,0.6439878011471095,1.287691522531046,0.3813111645343673,4.5346236393885775,0.7326790235591216
20,EC,15,0,0,0,15,15,1.8951403836222995,6.837784196161175,0.4245707283302542,0.5305807300014709,2.096275650624491,1.3531178202775842,11.202095732030758,1.7509736433422871
