constant,default,multiplier,value,ordering_valid,dz,p,n_up,rho_Q_RI,top1_frac_below2,frac_label_changed,exemplar_RI,comparison_RI
t_cbar,0.35,0.5,0.175,True,1.4531073533332826,6.231001777396527e-05,15,0.03818656704486125,1.0,0.20849388507287653,2.378151680316238,1.3419616672802244
t_cbar,0.35,0.55,0.1925,True,1.4531073533332826,6.231001777396527e-05,15,0.029493506496833934,1.0,0.18688222482827943,2.378151680316238,1.3419616672802244
t_cbar,0.35,0.6,0.21,True,1.4531073533332826,6.231001777396527e-05,15,0.020527648689113984,1.0,0.15815044396046238,2.378151680316238,1.3419616672802244
t_cbar,0.35,0.65,0.2275,True,1.4531073533332826,6.231001777396527e-05,15,0.013957838993836883,1.0,0.12690567934327357,2.378151680316238,1.3419616672802244
t_cbar,0.35,0.7,0.245,True,1.4531073533332826,6.231001777396527e-05,15,0.008225116882037638,1.0,0.09482325347629418,2.378151680316238,1.3419616672802244
t_cbar,0.35,0.75,0.2625,True,1.4515096997175718,6.299666354089732e-05,15,0.003837607721362267,1.0,0.06910705310772323,2.378151680316238,1.3419616672802244
t_cbar,0.35,0.8,0.28,True,1.4498170965384969,6.373273897254412e-05,15,0.00011573709006880823,1.0,0.047244094488188976,2.378151680316238,1.3419616672802244
t_cbar,0.35,0.85,0.2975,True,1.4475748823589114,6.472167547194843e-05,15,-0.0019440314657299626,1.0,0.03317138549170715,2.378151680316238,1.3419616672802244
t_cbar,0.35,0.9,0.315,True,1.4380492518330295,6.910492478521612e-05,15,-0.0033485406787635364,1.0,0.019266208745183446,2.378151680316238,1.3419616672802244
t_cbar,0.35,0.95,0.3325,True,1.4261286495438064,7.503044433408516e-05,15,-0.004325971220836139,1.0,0.009046741497738315,2.378151680316238,1.3419616672802244
t_cbar,0.35,1.0,0.35,True,1.4162466288494815,8.034368364749361e-05,15,-0.004841888292618622,1.0,0.0,2.378151680316238,1.3419616672802244
t_cbar,0.35,1.05,0.3675,True,1.4121058648700275,8.268530494606303e-05,15,-0.005436307398615436,1.0,0.00603116099849221,2.378151680316238,1.3419616672802244
t_cbar,0.35,1.1,0.385,True,1.4077348766451938,8.523443342267949e-05,15,-0.00554315293592207,1.0,0.012481152621879711,2.378151680316238,1.3419616672802244
t_cbar,0.35,1.15,0.4025,True,1.4040710917975163,8.743418873907693e-05,15,-0.005726476554908711,1.0,0.017339587870665103,2.3534298416017236,1.3419616672802244
t_cbar,0.35,1.2,0.42,True,1.4007682695805197,8.946792861973814e-05,15,-0.005808831416638784,1.0,0.022030490869492377,2.2970369315349854,1.3419616672802244
t_cbar,0.35,1.25,0.4375,True,1.373726356185601,0.00010809094965052647,15,-0.005802529899617191,1.0,0.0252136036186966,2.2451554542735863,1.3419616672802244
t_cbar,0.35,1.3,0.455,True,1.362252515777774,0.00011717275646044193,15,-0.005535750469974731,1.0,0.028145417992963644,2.197264859878448,1.3419616672802244
t_cbar,0.35,1.35,0.4725,True,1.3732398183086334,0.00010846078206285083,15,-0.005478177686999262,1.0,0.030323337242419167,2.1529217169199875,1.3419616672802244
t_cbar,0.35,1.4,0.49,True,1.3746882050760332,0.00010736367554516734,15,-0.005348007488860948,1.0,0.03342268386664433,2.1357655604310164,1.3419616672802244
t_cbar,0.35,1.45,0.5075,True,1.3454845758014382,0.0001318972000975035,15,-0.0052603872541844955,1.0,0.03585190149103702,2.1357655604310164,1.3419616672802244
t_cbar,0.35,1.5,0.525,True,1.3408157172617239,0.00013633048545124975,15,-0.005351001828437229,1.0,0.037024627240743846,2.1357655604310164,1.3419616672802244
t_cbarw,0.25,0.5,0.125,True,1.4519444204489373,6.28090490222479e-05,15,-0.05416534365924575,1.0,0.015664265371083935,2.378151680316238,1.3419616672802244
t_cbarw,0.25,0.55,0.1375,True,1.4498747418641267,6.370752322193258e-05,15,-0.06922054613127442,1.0,0.01524543474618864,2.378151680316238,1.3419616672802244
t_cbarw,0.25,0.6,0.15,True,1.4475098349026028,6.475060278313908e-05,15,-0.07506789738038383,1.0,0.014407773496398057,2.378151680316238,1.3419616672802244
t_cbarw,0.25,0.65,0.1625,True,1.4454884057413753,6.565631199746054e-05,15,-0.07488958601596403,1.0,0.012983749371754063,2.378151680316238,1.3419616672802244
t_cbarw,0.25,0.7,0.175,True,1.4444010999722268,6.614894216930727e-05,15,-0.07062326383720838,1.0,0.011475959122131011,2.378151680316238,1.3419616672802244
t_cbarw,0.25,0.75,0.1875,True,1.4427096264012873,6.692298642154078e-05,15,-0.06300986775016239,1.0,0.010135701122466074,2.378151680316238,1.3419616672802244
t_cbarw,0.25,0.8,0.2,True,1.439994712362686,6.818519144333885e-05,15,-0.052958858489750175,1.0,0.007874015748031496,2.378151680316238,1.3419616672802244
t_cbarw,0.25,0.85,0.2125,True,1.435081971065794,7.053273548959626e-05,15,-0.04167045530597304,1.0,0.006282459373429385,2.378151680316238,1.3419616672802244
t_cbarw,0.25,0.9,0.225,True,1.4274451043511542,7.435079547232824e-05,15,-0.029762332054288264,1.0,0.004439604623890099,2.378151680316238,1.3419616672802244
t_cbarw,0.25,0.95,0.2375,True,1.4208410789046828,7.782621709449926e-05,15,-0.017323876537893027,1.0,0.0023454514994136373,2.378151680316238,1.3419616672802244
t_cbarw,0.25,1.0,0.25,True,1.4162466288494815,8.034368364749361e-05,15,-0.004841888292618622,1.0,0.0,2.378151680316238,1.3419616672802244
t_cbarw,0.25,1.05,0.2625,True,1.4122496207521906,8.26028297348505e-05,15,0.007857015865595382,1.0,0.002680515999329871,2.378151680316238,1.3419616672802244
t_cbarw,0.25,1.1,0.275,True,1.4083243535595575,8.488593020994864e-05,15,0.019923779021513675,1.0,0.005277265873680684,2.378151680316238,1.3419616672802244
t_cbarw,0.25,1.15,0.2875,True,1.4066439390309309,8.588334280685027e-05,15,0.031111689743936702,1.0,0.007203886748199028,2.378151680316238,1.3419616672802244
t_cbarw,0.25,1.2,0.3,True,1.4045228901134788,8.715975862220018e-05,15,0.04128040194264656,1.0,0.00938180599765455,2.378151680316238,1.3419616672802244
t_cbarw,0.25,1.25,0.3125,True,1.4022822105611394,8.852965684601666e-05,15,0.050451759535601985,1.0,0.01097336237225666,2.378151680316238,1.3419616672802244
t_cbarw,0.25,1.3,0.325,True,1.400995750289663,8.932628761384799e-05,15,0.058863308003340345,1.0,0.013151281621712179,2.378151680316238,1.3419616672802244
t_cbarw,0.25,1.35,0.3375,True,1.3999354916102449,8.99884577863672e-05,15,0.0663682764203802,1.0,0.014994136371251465,2.378151680316238,1.3419616672802244
t_cbarw,0.25,1.4,0.35,True,1.398183333413591,9.109397584842412e-05,15,0.0728038941727889,1.0,0.016753224995811694,2.378151680316238,1.3419616672802244
t_cbarw,0.25,1.45,0.3625,True,1.3969052591278655,9.19092902559172e-05,15,0.07827361935495113,1.0,0.018847378120288156,2.378151680316238,1.3419616672802244
t_cbarw,0.25,1.5,0.375,True,1.3960517008061029,9.245802627510274e-05,15,0.082721861099322,1.0,0.019852571620036858,2.378151680316238,1.3419616672802244
